# id,name,interests (semicolon-separated)
0,Aditya_0,Computer Vision;Databases;Hiking;Operating Systems;Photography;Web Development
1,Rohan_1,Computer Vision;Databases;Photography;Rust;Writing
2,Mansi_2,Chemistry;Competitive Programming;Gaming;Swimming
3,Atishay_3,Cricket;Cybersecurity;Investing;Mathematics;Reading
4,Pooja_4,Blockchain;Frontend;Go;JavaScript;Photography;Swimming;Web Development
5,Nikhil_5,Algorithms;Databases;Gaming;Hiking;Networking;Python;Rust
6,Ishaan_6,Chemistry;Cloud;Competitive Programming;Deep Learning;Frontend;NLP;Web Development
7,Ananya_7,C++;Data Structures;DevOps;Economics;Finance;Networking;Reading
8,Aditya_8,Algorithms;Competitive Programming;Music;Networking;Photography
9,Neha_9,Blockchain;Competitive Programming;Deep Learning;Football
10,Kavya_10,C++;Cybersecurity;Deep Learning;Frontend;Graph Theory;Web Development
11,Nidhi_11,Cricket;Cybersecurity;Football;Gaming;Reading
12,Tanya_12,Algorithms;Football;Go;Investing;Java;JavaScript;Photography
13,Nidhi_13,Basketball;Blockchain;Computer Vision;Data Structures;Frontend;Swimming
14,Neha_14,C++;Chemistry;Rust;Swimming;Writing
15,Shreya_15,Computer Vision;Deep Learning;Go;Java;JavaScript;Operating Systems;Python
16,Arjun_16,Go;Graph Theory;Hiking;Painting;Writing
17,Suhani_17,C++;Data Structures;DevOps;Economics;Mathematics;Networking
18,Vikas_18,C++;Chemistry;Gaming;Graph Theory;Networking;Photography
19,Simran_19,Biology;Chemistry;Cybersecurity;DevOps;Music;Swimming
20,Rahul_20,Chemistry;Competitive Programming;Compilers;Graph Theory;Mathematics;Networking
21,Sneha_21,Gaming;Hiking;Music;Networking;Python;Rust
22,Vishal_22,Algorithms;Cricket;Java;Mathematics;Operating Systems
23,Ananya_23,Chemistry;Operating Systems;Swimming;Web Development
24,Vikas_24,Competitive Programming;Computer Vision;Go;Java;Machine Learning;Photography;Physics
25,Mansi_25,Cricket;DevOps;Finance;Football;Graph Theory;Machine Learning;Reading
26,Ananya_26,Compilers;Cricket;Machine Learning;Photography;Reading
27,Rohan_27,Basketball;Blockchain;Chemistry;Computer Vision;Data Structures;Frontend;Swimming
28,Kunal_28,Algorithms;Cricket;Java;Mathematics;Reading
29,Vishal_29,Frontend;Gaming;Graph Theory;Python;Reading
30,Isha_30,Blockchain;Databases;Finance;Java
31,Shreya_31,C++;Computer Vision;Hiking;Photography;Rust;Swimming;Web Development
32,Simran_32,C++;Databases;Mathematics;Physics
33,Kunal_33,C++;Cloud;Compilers;Mathematics;Reading
34,Amit_34,Cricket;Cybersecurity;Mathematics;Music;Reading;Rust
35,Kavya_35,Biology;C++;Finance;Hiking;Machine Learning
36,Ravi_36,Biology;Blockchain;Graph Theory;Hiking;Painting;Writing
37,Suhani_37,Basketball;Cloud;DevOps;Finance;Go;Hiking;Swimming
